1 1 0 0.3     0.24 6.23      1.90735e-05 6.22485 0 0 0 0 10852      0 1.90735e-05  0 6.22485  0 0  0 0  0 0  0 0  0 10852       0 1.90735e-05  0 6.22485  0 0  0 0  0 0  0 0  0 10852 
2 1 0 0.3     0.27 3.27      0.000156283 3.18381 9.17912e-06 0 0.0878772 0.00714159 5431.5      0 0.000127077  1 3.16693  1 8.58307e-06  0 0  0 0.0710139  1 0.00470042  0 5404       1 0.00018549  0 3.20068  0 9.77516e-06  0 0  1 0.10474  0 0.00958276  1 5459 
4 1 0 0.3     0.31 1.77      0.000240445 1.62855 1.19805e-05 0 0.138865 0.00781131 2718.75      0 0.000128508  2 1.59494  0 8.58307e-06  0 0  0 0.0568604  3 0.00506902  3 2714       3 0.000300169  0 1.71066  1 1.64509e-05  0 0  2 0.172422  0 0.0129781  1 2725 
1 2 0 0.3     0.0599999 24.95      9.05991e-06 24.9432 0 0 0 0 28021      0 9.05991e-06  0 24.9432  0 0  0 0  0 0  0 0  0 28021       0 9.05991e-06  0 24.9432  0 0  0 0  0 0  0 0  0 28021 
2 2 0 0.3     0.0799999 13.18      0.000253558 12.5078 2.14577e-06 0 0.660973 0.00460005 14015      1 2.59876e-05  0 11.9219  0 1.90735e-06  0 0  1 0.0753472  1 0.00337839  0 13171       0 0.000481129  1 13.0936  1 2.38419e-06  0 0  0 1.2466  0 0.0058217  1 14859 
4 2 0 0.3     0.0799999 6.71      0.000101566 6.41957 1.90735e-06 0 0.289813 0.00531876 7010.75      0 4.69685e-05  2 6.27631  0 1.90735e-06  0 0  0 0.0852518  3 0.00363874  3 6882       3 0.000149012  0 6.62416  0 1.90735e-06  0 0  2 0.43306  0 0.00913668  0 7143 
1 3 0 0.3     0.11 15.78      1.71661e-05 15.7759 0 0 0 0 33731      0 1.71661e-05  0 15.7759  0 0  0 0  0 0  0 0  0 33731       0 1.71661e-05  0 15.7759  0 0  0 0  0 0  0 0  0 33731 
2 3 0 0.3     0.14 8.05      2.82526e-05 7.91138 0 0 0.142415 0.0192964 16871      1 2.52724e-05  0 7.90065  0 0  0 0  1 0.131691  1 0.0136507  1 16842       0 3.12328e-05  1 7.92212  0 0  0 0  0 0.153138  0 0.0249422  0 16900 
4 3 0 0.3     0.14 4.66      8.94666e-05 4.32034 0 0 0.335595 0.021559 8438.75      0 5.6982e-05  1 4.2371  0 0  0 0  3 0.239878  2 0.0132852  2 8315       2 0.000113249  3 4.41607  0 0  0 0  1 0.418817  0 0.0369267  3 8779 
4 4 0 0.3     1.12 5      1.72853e-05 4.85821 0 0 0.145523 0.00479496 29760.2      3 1.00136e-05  3 4.81821  0 0  0 0  0 0.0704679  1 0.00274301  3 29558       1 2.31266e-05  0 4.93325  0 0  0 0  3 0.18553  0 0.0102696  0 30078 
4 4 0 0.3     1.11 4.97      8.4877e-05 4.83974 0 0 0.126967 0.00449395 29760.2      2 1.62125e-05  1 4.77317  0 0  0 0  2 0.0778079  1 0.00251651  3 29558       0 0.000109196  2 4.88897  0 0  0 0  1 0.193513  0 0.00911665  0 30078 
4 4 0 0.3     2.29 4.99      2.82526e-05 4.80288 0 0 0.183313 0.00400788 29760.2      0 1.21593e-05  1 4.72876  0 0  0 0  0 0.0423172  3 0.00288177  3 29558       1 3.91006e-05  0 4.94388  0 0  0 0  1 0.25742  0 0.00723839  0 30078 
4 4 0 0.3     2.3 5      3.68953e-05 4.8617 0 0 0.142695 0.00433797 29760.2      3 1.50204e-05  1 4.80344  0 0  0 0  3 0.0913513  1 0.00260735  3 29558       1 5.07832e-05  3 4.91307  0 0  0 0  1 0.200946  0 0.00787997  0 30078 
4 4 0 0.3     1.08 5.2      2.65837e-05 4.92985 0 0 0.269194 0.00435472 29760.2      0 1.09673e-05  3 4.79574  0 0  0 0  2 0.103543  3 0.00250149  3 29558       3 3.40939e-05  2 5.09551  0 0  0 0  3 0.403303  0 0.00917816  0 30078 
4 4 0 0.3     2.3 4.94      3.02792e-05 4.81413 0 0 0.118922 0.00434583 29760.2      3 8.10623e-06  2 4.76433  0 0  0 0  0 0.0715473  1 0.0030067  3 29558       2 4.91142e-05  0 4.86149  0 0  0 0  2 0.168716  0 0.00778365  0 30078 
4 4 0 0.3     2.27 4.95      9.36389e-05 4.81746 0 0 0.132842 0.00451767 29760.2      3 1.09673e-05  1 4.78264  0 0  0 0  0 0.0928717  1 0.00304699  3 29558       1 0.000128031  0 4.85739  0 0  0 0  1 0.167628  0 0.00812078  0 30078 
4 4 0 0.3     2.21 16.81      0.000104964 14.816 0 0 1.9961 0.00857681 29760.2      2 4.98295e-05  1 14.2992  0 0  0 0  0 1.05245  1 0.00256824  3 29558       0 0.00017786  0 15.7595  0 0  0 0  1 2.5129  0 0.0264292  0 30078 
